应用,事件,数据生成时间(客户端时间),数据接收时间(服务器时间),延迟上报状态,日志信息
100116,front_reportItem,2021-10-24 22:06:58 ,2021-10-24 22:07:00 ,0,"{""date"":""24/Oct/2021:14:07:00 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-01"",""appid"":""100116"",""body"":{""name"":""front_reportItem"",""action"":""customevent"",""id"":""front_reportItem"",""params"":{""method"":""factoryProduct"",""itemId_type_name"":""item_5005"",""level"":""15"",""remain"":""280"",""change"":""-5"",""count"":""5"",""type"":""-1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""android"",""itemId"":""5005"",""ts"":""1635084418"",""playerid"":""n61jub"",""itemId_type_id"":""5""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084418""}},""user_agent"":""android""}"
100116,front_reportItem,2021-10-24 22:06:58 ,2021-10-24 22:07:00 ,0,"{""date"":""24/Oct/2021:14:07:00 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-02"",""appid"":""100116"",""body"":{""name"":""front_reportItem"",""action"":""customevent"",""id"":""front_reportItem"",""params"":{""method"":""factoryProduct"",""itemId_type_name"":""item_5018"",""level"":""15"",""remain"":""2108"",""change"":""-1"",""count"":""1"",""type"":""-1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""android"",""itemId"":""5018"",""ts"":""1635084418"",""playerid"":""n61jub"",""itemId_type_id"":""5""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084418""}},""user_agent"":""android""}"
100116,reportItem,2021-10-24 22:06:58 ,2021-10-24 22:06:58 ,0,"{""date"":""24/Oct/2021:22:06:58 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""reportItem"",""action"":""customevent"",""id"":9,""params"":{""bagCnt"":285,""itemId_type_name"":""magical_material"",""method"":""factoryProduct"",""os"":0,""level"":15,""remain"":280,""change"":-5,""count"":5,""type"":-1,""clientTime"":1635084418,""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""version"":""7.1.215"",""platform"":""ANDROID"",""get_or_consume_type"":-1,""accountId"":""3906650179436247"",""itemId"":""5005"",""subMethod"":"""",""itemId_type_id"":5,""playerid"":""n61jub"",""ts"":1635084418},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084418}}}"
100116,reportItem,2021-10-24 22:06:58 ,2021-10-24 22:06:58 ,0,"{""date"":""24/Oct/2021:22:06:58 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""reportItem"",""action"":""customevent"",""id"":9,""params"":{""bagCnt"":2109,""itemId_type_name"":""magical_material"",""method"":""factoryProduct"",""os"":0,""level"":15,""remain"":2108,""change"":-1,""count"":1,""type"":-1,""clientTime"":1635084418,""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""version"":""7.1.215"",""platform"":""ANDROID"",""get_or_consume_type"":-1,""accountId"":""3906650179436247"",""itemId"":""5018"",""subMethod"":"""",""itemId_type_id"":5,""playerid"":""n61jub"",""ts"":1635084418},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084418}}}"
100116,factory_product,2021-10-24 22:06:58 ,2021-10-24 22:06:58 ,0,"{""date"":""24/Oct/2021:22:06:58 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""factory_product"",""action"":""customevent"",""id"":45,""params"":{""itemId"":""3003"",""os"":0,""material"":[[""5005"",5],[""5018"",1]],""level"":15,""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""ANDROID"",""playerid"":""n61jub"",""ts"":1635084418},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084418}}}"
100116,front_reportItem,2021-10-24 22:06:55 ,2021-10-24 22:06:57 ,0,"{""date"":""24/Oct/2021:14:06:57 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-03"",""appid"":""100116"",""body"":{""name"":""front_reportItem"",""action"":""customevent"",""id"":""front_reportItem"",""params"":{""method"":""factoryProduct"",""itemId_type_name"":""item_5005"",""level"":""15"",""remain"":""285"",""change"":""-5"",""count"":""5"",""type"":""-1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""android"",""itemId"":""5005"",""ts"":""1635084415"",""playerid"":""n61jub"",""itemId_type_id"":""5""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084415""}},""user_agent"":""android""}"
100116,front_reportItem,2021-10-24 22:06:55 ,2021-10-24 22:06:57 ,0,"{""date"":""24/Oct/2021:14:06:57 +0000"",""remote_addr"":""112.141.241.194"",""hostname"":""nginx-prod-02"",""appid"":""100116"",""body"":{""name"":""front_reportItem"",""action"":""customevent"",""id"":""front_reportItem"",""params"":{""method"":""factoryProduct"",""itemId_type_name"":""item_5018"",""level"":""15"",""remain"":""2109"",""change"":""-1"",""count"":""1"",""type"":""-1"",""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""android"",""itemId"":""5018"",""ts"":""1635084415"",""playerid"":""n61jub"",""itemId_type_id"":""5""},""device"":{""keyhash"":""/jD5rhPngo1Y8ZM3BEs9cL2NW3g="",""syslanguage"":""en"",""timezone"":""Australia/Brisbane"",""appver"":""7.1.0"",""packagename"":""com.dragonmonster.idlefarmadventure.free"",""sysver"":""11"",""targetSdkVersion"":""30"",""gps_adid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""userid_ini"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""unitysdkver"":""3.1.18"",""tags"":""[]"",""netstatus"":""1"",""unityver"":""2018.4.36f1"",""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure"",""romsize"":""32768"",""sdkver"":""3.1.15"",""appvercode"":""11"",""ramsize"":""1781"",""androidid"":""bccf0bdb9e66723e"",""devicemodel"":""SM-T515"",""timestamp"":""1635084415""}},""user_agent"":""android""}"
100116,reportItem,2021-10-24 22:06:56 ,2021-10-24 22:06:56 ,0,"{""date"":""24/Oct/2021:22:06:56 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""reportItem"",""action"":""customevent"",""id"":9,""params"":{""bagCnt"":2110,""itemId_type_name"":""magical_material"",""method"":""factoryProduct"",""os"":0,""level"":15,""remain"":2109,""change"":-1,""count"":1,""type"":-1,""clientTime"":1635084416,""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""version"":""7.1.215"",""platform"":""ANDROID"",""get_or_consume_type"":-1,""accountId"":""3906650179436247"",""itemId"":""5018"",""subMethod"":"""",""itemId_type_id"":5,""playerid"":""n61jub"",""ts"":1635084416},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084416}}}"
100116,reportItem,2021-10-24 22:06:56 ,2021-10-24 22:06:56 ,0,"{""date"":""24/Oct/2021:22:06:56 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""reportItem"",""action"":""customevent"",""id"":9,""params"":{""bagCnt"":290,""itemId_type_name"":""magical_material"",""method"":""factoryProduct"",""os"":0,""level"":15,""remain"":285,""change"":-5,""count"":5,""type"":-1,""clientTime"":1635084416,""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""version"":""7.1.215"",""platform"":""ANDROID"",""get_or_consume_type"":-1,""accountId"":""3906650179436247"",""itemId"":""5005"",""subMethod"":"""",""itemId_type_id"":5,""playerid"":""n61jub"",""ts"":1635084416},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084416}}}"
100116,factory_product,2021-10-24 22:06:56 ,2021-10-24 22:06:56 ,0,"{""date"":""24/Oct/2021:22:06:56 +0800"",""remote_addr"":""112.141.241.194"",""hostname"":""ld-gs-001"",""appid"":""100116"",""body"":{""datastate"":""0"",""name"":""factory_product"",""action"":""customevent"",""id"":45,""params"":{""itemId"":""3003"",""os"":0,""material"":[[""5005"",5],[""5018"",1]],""level"":15,""version"":""7.1.215"",""deviceId"":""f6cfd7fce59e681e183d58a4b5f8515a"",""platform"":""ANDROID"",""playerid"":""n61jub"",""ts"":1635084416},""device"":{""devicecountry"":""AU"",""appname"":""Dragon Farm Adventure Android"",""timezone"":""GMT+08:00"",""appver"":""7.1.0"",""userid"":""e373f93a-a8a6-485d-aa48-ef396ec53bae"",""timestamp"":1635084416}}}"
